% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
8.9918E-5;1.0327
0.22502;2584.4
0.45003;4810.4
0.67502;4926.0
0.90002;5030.3
1.1250;5128.4
1.3500;5221.8
1.5750;5311.1
1.8000;5397.4
2.0250;5480.9
2.2500;5562.1
2.4750;5641.3
2.7000;5718.5
2.9250;5793.9
3.1500;5867.9
3.3750;5940.2
3.6000;6011.2
3.8250;6080.8
4.0500;6149.0
4.2750;6216.0
4.5000;6281.7
4.7250;6346.3
4.9500;6409.7
5.1750;6472.1
5.4000;6533.4
5.6250;6593.7
5.8500;6653.0
6.0750;6711.2
6.3000;6768.5
6.5250;6824.8
6.7500;6880.2
6.9750;6934.7
7.2000;6988.3
7.4250;7040.9
7.6500;7092.8
7.8750;7143.7
8.1000;7193.9
8.3250;7243.3
8.5500;7291.8
8.7750;7339.6
9.0000;7386.6
9.2250;7432.9
9.4500;7478.4
9.6750;7523.2
9.9000;7567.3
10.125;7610.7
10.350;7653.3
10.575;7695.3
10.800;7736.7
11.025;7777.3
11.250;7817.3
11.475;7856.7
11.700;7895.5
11.925;7933.6
12.150;7971.2
12.375;8008.1
12.600;8044.5
12.825;8080.2
13.050;8115.4
13.275;8150.0
13.500;8184.1
13.725;8217.6
13.950;8250.7
14.175;8283.1
14.400;8315.1
14.625;8346.5
14.850;8377.5
15.075;8407.9
15.300;8437.9
15.525;8467.3
15.750;8496.4
15.975;8524.9
16.200;8553.0
16.425;8580.6
16.650;8607.8
16.875;8634.5
17.100;8660.9
17.325;8686.7
17.550;8712.2
17.775;8737.3
18.000;8761.9
18.225;8786.2
18.450;8810.0
18.675;8833.5
18.900;8856.6
19.125;8879.3
19.350;8901.6
19.575;8923.6
19.800;8945.2
20.025;8966.5
20.250;8987.4
20.475;9008.0
20.700;9028.2
20.925;9048.1
21.150;9067.7
21.375;9086.9
21.600;9105.9
21.825;9124.5
22.050;9142.8
22.275;9160.8
22.500;9178.5
22.725;9195.9
22.950;9213.1
23.175;9229.9
23.400;9246.5
23.625;9262.7
23.850;9278.8
24.075;9294.5
24.300;9310.0
24.525;9325.2
24.750;9340.2
24.975;9354.8
25.200;9369.3
25.425;9383.5
25.650;9397.5
25.875;9411.2
26.100;9424.7
26.325;9438.0
26.550;9451.1
26.775;9463.9
27.000;9476.5
27.225;9488.9
27.450;9501.0
27.675;9513.0
27.900;9524.8
28.125;9536.3
28.350;9547.7
28.575;9558.8
28.800;9569.8
29.025;9580.6
29.250;9591.2
29.475;9601.6
29.700;9611.8
29.925;9621.8
30.150;9631.7
30.375;9641.4
30.600;9650.9
30.825;9660.3
31.050;9669.5
31.275;9678.5
31.500;9687.4
31.725;9696.1
31.950;9704.6
32.175;9713.0
32.400;9721.3
32.625;9729.4
32.850;9737.4
33.075;9745.2
33.300;9752.8
33.525;9760.4
33.750;9767.8
33.975;9775.1
34.200;9782.2
34.425;9789.2
34.650;9796.1
34.875;9802.8
35.100;9809.5
35.325;9816.0
35.550;9822.4
35.775;9828.7
36.000;9834.8
36.225;9840.9
36.450;9846.8
36.675;9852.6
36.900;9858.3
37.125;9864.0
37.350;9869.5
37.575;9874.9
37.800;9880.2
38.025;9885.4
38.250;9890.5
38.475;9895.5
38.700;9900.4
38.925;9905.2
39.150;9910.0
39.375;9914.6
39.600;9919.2
39.825;9923.6
40.050;9928.0
40.275;9932.3
40.500;9936.5
40.725;9940.7
40.950;9944.7
41.175;9948.7
41.400;9952.6
41.625;9956.5
41.850;9960.2
42.075;9963.9
42.300;9967.5
42.525;9971.0
42.750;9974.5
42.975;9977.9
43.200;9981.3
43.425;9984.5
