% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 6 2023, 10:23"
% Dimension,1
% Nodes,201
% Expressions,27
% Description,Point graph
% Time (s);Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung;Erste Hauptspannung
0.0000;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5;1.3149E-5
5.0000;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906;0.032906
10.000;0.061230;0.051693;0.065812;0.061215;0.051653;0.065812;0.061201;0.051612;0.065812;0.061264;0.051793;0.065812;0.061249;0.051748;0.065812;0.061232;0.051702;0.065812;0.061193;0.051591;0.065812;0.061181;0.051555;0.065812;0.061169;0.051518;0.065812
15.000;0.062718;0.053127;0.072285;0.062624;0.053016;0.072209;0.062529;0.052902;0.072135;0.062949;0.053402;0.072462;0.062845;0.053281;0.072382;0.062740;0.053154;0.072301;0.062477;0.052841;0.072096;0.062394;0.052742;0.072034;0.062309;0.052640;0.071968
20.000;0.064087;0.054434;0.073704;0.063930;0.054262;0.073560;0.063769;0.054088;0.073416;0.064479;0.054864;0.074058;0.064304;0.054675;0.073900;0.064127;0.054478;0.073740;0.063680;0.053989;0.073336;0.063540;0.053837;0.073210;0.063397;0.053688;0.073081
25.000;0.065358;0.055648;0.075025;0.065146;0.055422;0.074822;0.064927;0.055191;0.074617;0.065899;0.056224;0.075534;0.065660;0.055972;0.075309;0.065418;0.055712;0.075080;0.064800;0.055057;0.074498;0.064609;0.054859;0.074320;0.064415;0.054661;0.074138
30.000;0.066555;0.056793;0.076269;0.066286;0.056514;0.076011;0.066013;0.056232;0.075749;0.067238;0.057510;0.076922;0.066938;0.057197;0.076635;0.066634;0.056877;0.076344;0.065849;0.056062;0.075595;0.065613;0.055819;0.075367;0.065374;0.055576;0.075135
35.000;0.067688;0.057885;0.077448;0.067368;0.057557;0.077138;0.067045;0.057223;0.076823;0.068512;0.058740;0.078242;0.068153;0.058368;0.077895;0.067789;0.057990;0.077545;0.066845;0.057016;0.076629;0.066566;0.056730;0.076357;0.066283;0.056443;0.076080
40.000;0.068775;0.058940;0.078570;0.068406;0.058560;0.078212;0.068033;0.058175;0.077847;0.069735;0.059931;0.079505;0.069319;0.059502;0.079100;0.068899;0.059068;0.078690;0.067795;0.057930;0.077615;0.067473;0.057602;0.077301;0.067147;0.057272;0.076983
45.000;0.069822;0.059961;0.079650;0.069405;0.059533;0.079244;0.068983;0.059099;0.078830;0.070921;0.061090;0.080719;0.070450;0.060606;0.080260;0.069971;0.060115;0.079794;0.068706;0.058815;0.078559;0.068345;0.058445;0.078204;0.067978;0.058072;0.077844
50.000;0.070840;0.060957;0.080692;0.070375;0.060482;0.080239;0.069905;0.060000;0.079778;0.072075;0.062223;0.081898;0.071548;0.061684;0.081383;0.071015;0.061137;0.080862;0.069587;0.059674;0.079468;0.069185;0.059264;0.079073;0.068778;0.058848;0.078673
55.000;0.071831;0.061931;0.081705;0.071320;0.061409;0.081204;0.070802;0.060879;0.080696;0.073200;0.063334;0.083044;0.072621;0.062741;0.082477;0.072034;0.062140;0.081901;0.070443;0.060512;0.080345;0.070002;0.060062;0.079912;0.069555;0.059606;0.079473
60.000;0.072799;0.062888;0.082690;0.072243;0.062319;0.082145;0.071679;0.061743;0.081591;0.074302;0.064423;0.084162;0.073670;0.063779;0.083544;0.073030;0.063125;0.082915;0.071277;0.061332;0.081198;0.070797;0.060843;0.080726;0.070311;0.060347;0.080248
65.000;0.073746;0.063826;0.083652;0.073146;0.063214;0.083063;0.072537;0.062592;0.082465;0.075383;0.065492;0.085255;0.074701;0.064798;0.084587;0.074008;0.064094;0.083908;0.072092;0.062136;0.082028;0.071575;0.061609;0.081519;0.071050;0.061074;0.081004
70.000;0.074677;0.064747;0.084592;0.074033;0.064093;0.083961;0.073380;0.063428;0.083320;0.076444;0.066541;0.086327;0.075713;0.065800;0.085609;0.074971;0.065047;0.084879;0.072889;0.062926;0.082838;0.072335;0.062362;0.082293;0.071774;0.061790;0.081740
